,Coefficient,order
cg21493505,0.008340117881215296,1.0
cg08715791,1.5842689743299045,1.0
cg11435167,0.13336306156565625,1.0
cg00702638,1.8950982958094797,1.0
cg18728264,1.0805987563507748,1.0
cg00330825,-0.10936993066910182,1.0
cg13460409,0.17373054828867543,1.0
cg05902130,-0.2613938539088844,1.0
cg26280179,0.3596779657218769,1.0
cg20706495,-0.0060250910462237755,1.0
cg01430430,-0.5177453986279309,1.0
cg04845871,-0.43328743247480445,1.0
cg13210467,0.5331523406395865,1.0
cg04988273,0.2505736253756521,1.0
cg03661324,0.7149952770140363,1.0
cg13417891,-0.09419150161348808,1.0
cg00066663,-0.31837613719026037,1.0
cg21911851,0.07838367943294133,1.0
cg12100751,0.22940225125010602,1.0
cg27665659,0.7634130761726591,1.0
cg13033070,0.04994208299200147,1.0
cg14013080,-0.07999513167653188,1.0
cg18008766,1.0182449919432632,1.0
cg22964621,0.20987297369936164,1.0
cg19628988,-0.5505101070726707,1.0
cg11864326,0.1673387836122036,1.0
cg19480385,-0.2259514809372046,1.0
cg01810111,2.2526072022439196,1.0
cg02821342,-1.7029319355032984,1.0
cg07066898,1.0535275756477707,1.0
cg02624067,0.15267415595512926,1.0
cg12644845,1.1400526266093807,1.0
cg05364179,0.0967818803651745,1.0
cg17291767,0.6661364697491693,1.0
cg01670876,-0.3942160947390668,1.0
cg04738827,0.5118740410457973,1.0
cg21899500,0.19106345682375211,1.0
cg04658615,0.05873139155205538,1.0
cg25805482,0.02613933961699822,1.0
cg12850242,1.278412994844951,1.0
cg03888064,0.013517053332416743,1.0
cg06621425,0.13916998221193821,1.0
cg04453471,-0.44929275124736034,1.0
cg27523527,1.8777927116286781,1.0
cg21994822,-0.08209059401156842,1.0
cg00933859,0.3430943364223891,1.0
cg05529123,0.023159388000953858,1.0
cg08031689,-0.39322840369910744,1.0
cg22199118,1.0869876261896954,1.0
cg26940328,-0.044198890605922615,1.0
cg00333800,0.2501984075145941,1.0
cg02895699,0.6905916611977404,1.0
cg16848937,0.8746373021522881,1.0
cg27320127,1.1388802312456816,1.0
