,Coefficient,order
cg08026930,0.9070934463501306,1.0
cg24214260,0.7768008855463652,1.0
cg19060970,2.027186753065002,1.0
cg05101846,0.1517985477094667,1.0
cg01233722,0.48696319411457617,1.0
cg05960039,-1.316284797153802,1.0
cg25375916,-0.16213394986170673,1.0
cg04427498,0.9124965985893898,1.0
cg04267284,-0.176036839173462,1.0
cg14021321,0.10917929986057952,1.0
cg01588224,-0.31940929395725276,1.0
cg27648556,-0.09722851162609183,1.0
cg16489193,0.5363712778754276,1.0
cg22701032,0.49990865481948016,1.0
cg01071511,-0.33533809186291075,1.0
cg26894278,0.7713779564691643,1.0
cg09795081,-0.2103103581263681,1.0
cg23974739,-0.23125946255168367,1.0
cg23437420,-0.015598377350908306,1.0
cg16374343,-0.6760475283706798,1.0
cg02858808,-0.0569001387620019,1.0
cg27665659,0.5691283338791621,1.0
cg10729426,5.243508573326197,1.0
cg22833603,-0.20014217147542346,1.0
cg12315353,-1.0882267837042956,1.0
cg23908638,-0.24172307681216276,1.0
cg00804078,-2.4398861233904348,1.0
cg14763104,-0.4503682462174945,1.0
cg16868095,-0.7214080623776101,1.0
cg02772159,0.16973634424062758,1.0
cg06597431,-0.5643928120626469,1.0
cg17855279,0.1618190112083521,1.0
cg24089171,0.35462310513308326,1.0
cg10464418,-0.300735752112505,1.0
cg11859489,0.10191453967349971,1.0
cg12644845,0.974467337817857,1.0
cg27188827,0.30254468656844835,1.0
cg14976190,-0.5465128524168344,1.0
cg01430430,-0.5427855809028836,1.0
cg04607131,-0.4061553312257594,1.0
cg02059082,-0.7852063240791884,1.0
cg13735018,0.059906778326236206,1.0
cg17009679,0.04316194545081746,1.0
cg25089598,0.09441820921921334,1.0
cg04065767,0.10677977051461121,1.0
cg08756885,-0.048681034262081375,1.0
cg05638500,-0.6455878182186894,1.0
cg00873517,0.15529304086050635,1.0
cg05229035,-0.7739612747175147,1.0
cg04801430,0.5764121765821092,1.0
cg07172885,0.5625868905214648,1.0
cg15858166,0.32773493297350503,1.0
cg14755066,0.49761486508192654,1.0
cg17240133,0.5008824361175156,1.0
cg04241863,0.906587447893918,1.0
cg13166781,0.2342808367088365,1.0
cg18700940,-0.34819605475345183,1.0
cg02901606,-0.14705010431866744,1.0
cg07677157,-1.120150898082486,1.0
cg06993413,0.1824310226422589,1.0
cg18404335,1.035707028412099,1.0
cg01844642,1.3522032622558557,1.0
cg08472142,0.15122873033688633,1.0
cg12850242,1.5450887941730627,1.0
cg25971823,-0.41101684810757183,1.0
cg05405742,-0.27790377027958313,1.0
cg04645070,-0.7562204521473287,1.0
cg24136314,-0.022361055193034662,1.0
cg17566735,-1.3302356685618053,1.0
cg18254586,-0.3001378323257843,1.0
cg03095562,-0.015359813445115292,1.0
cg02207944,0.8471563691816026,1.0
cg05105477,-0.0004015972349218781,1.0
cg13970540,-0.5647183251672702,1.0
cg23981354,0.09236030397827576,1.0
cg01534416,0.37205466867735465,1.0
cg26432195,0.04046652580759638,1.0
cg19451698,0.24667494767518738,1.0
cg15995695,0.4687733549947117,1.0
cg11342615,-0.19655853227384135,1.0
cg06707236,0.7938107857647908,1.0
cg25598685,-0.19654953895885913,1.0
cg04514469,-0.4444704170214066,1.0
cg25478614,1.584803488851206,1.0
cg24748631,0.019726074953860574,1.0
cg20406033,-0.03017816107388957,1.0
cg25665528,-0.18599854311693984,1.0
cg09661041,-0.12449301095818427,1.0
cg00059225,0.6649751133225144,1.0
cg15913157,-0.5649851690403881,1.0
cg04617914,-0.20917595178697074,1.0
cg27514333,-1.04475688741846,1.0
cg07933234,-0.2317841754814479,1.0
cg18633600,0.5793064435658142,1.0
cg08031689,-0.7618645507583152,1.0
cg27423216,-0.3030323303638061,1.0
cg01019875,0.2510649054971805,1.0
cg25139493,0.0042399322541592085,1.0
cg21002224,0.08181441450522392,1.0
cg11724135,-0.3085957455542601,1.0
cg07164639,-2.0356334919981847,1.0
cg00827176,-0.1228308001247123,1.0
cg05035315,0.2983771397469804,1.0
cg14756040,0.12471484916950673,1.0
cg03989617,-0.6441312449381544,1.0
cg03228766,0.09054093846507634,1.0
cg17319889,-0.4161106671002085,1.0
cg09309112,0.08490924075298463,1.0
cg14614689,0.04301541357859402,1.0
cg25050565,-0.18064656968748788,1.0
cg01109333,0.022059187489501572,1.0
cg17453374,0.06707095551608291,1.0
cg00394316,1.1758507222394765,1.0
cg26698693,-0.12980382103765015,1.0
cg15420468,0.47026210837802956,1.0
cg08996748,0.2747630127575026,1.0
cg23193759,1.7715632940747212,1.0
cg01149239,-0.054312032686434954,1.0
cg00330825,-0.21893952895563845,1.0
cg16969368,0.3168942041237922,1.0
cg17204562,-0.7024817130489985,1.0
cg02063846,-0.050562058051980344,1.0
cg09321307,-0.15559423563432964,1.0
cg14284211,-0.9249932952078941,1.0
cg11341610,-0.6358153776965217,1.0
cg04636557,-0.229211262025717,1.0
cg08371223,-0.12098860600661583,1.0
cg00748589,0.2743628293864635,1.0
cg01764161,-0.2953436705111518,1.0
cg26921969,1.8192783269777806,1.0
cg13484553,0.7806681430152441,1.0
cg18424233,0.4391736157211701,1.0
cg03834031,-0.39132528489581203,1.0
cg26681017,0.06400603926275895,1.0
cg00853853,1.4841161931715008,1.0
cg05900955,-0.17115994465111492,1.0
cg03664992,0.12500058016379167,1.0
cg26372517,-0.2502432766682752,1.0
cg16873271,-0.303628896101923,1.0
cg20940044,0.3492575479495619,1.0
cg01287833,-0.38752118291369053,1.0
cg07303143,4.770789023380134,1.0
cg27224971,0.05319391192115982,1.0
cg07917031,-0.16607416572031747,1.0
cg06084073,-0.48340708545402866,1.0
cg04375036,-0.039612927733197904,1.0
cg10501454,-0.9273772586848619,1.0
cg23452220,-0.4160203866020557,1.0
cg11852212,0.7086333955080276,1.0
cg09548403,-0.2859938330152161,1.0
cg01646718,-0.029078681595716586,1.0
cg25001305,-0.3108262156969588,1.0
cg21572722,2.271345862563695,1.0
cg16596052,0.0960334158778613,1.0
cg14981819,-0.17205896010569882,1.0
cg18878565,0.4818644163107765,1.0
cg27541691,1.2494075950480557,1.0
cg01154966,0.4568690743085768,1.0
cg05903736,-0.5957331135645068,1.0
cg09124230,-0.1797464255084831,1.0
cg16565562,-1.24589968540389,1.0
cg04453471,-0.24767025040073024,1.0
cg02220965,1.1008154902880136,1.0
cg13935689,0.4691134684083434,1.0
cg00460776,0.5751833418338659,1.0
cg05940240,-0.07808167479227308,1.0
cg05308656,0.06772748369799213,1.0
cg02331561,1.284813600042152,1.0
cg12793753,0.0396267972063817,1.0
cg02251393,-0.4199760958249521,1.0
cg24406771,0.008762092344505947,1.0
cg16709403,-0.05523284047277323,1.0
cg01912040,3.1140128899478827,1.0
cg06639320,2.542914867048598,1.0
cg24118856,0.8070941526452295,1.0
cg15952487,-0.27435391462852665,1.0
cg01715910,-0.15207573607098274,1.0
cg12921411,-1.061696374418164,1.0
cg25263189,0.539013291932016,1.0
cg21383341,-0.3242641090710939,1.0
cg27093637,-0.11296947332685274,1.0
cg17425351,0.27932306124247286,1.0
cg11535638,-0.2556862175566673,1.0
cg04684267,1.156314423298092,1.0
cg04234543,-0.030789988595142984,1.0
cg16741128,-0.2655679977105839,1.0
cg13378934,0.5267961054489462,1.0
cg08985669,-0.035595243342327144,1.0
cg07936585,0.06503326857161754,1.0
cg24592892,-0.20448315870533657,1.0
cg26853787,-0.1506703477705356,1.0
cg11230435,-0.8046135502345364,1.0
cg07077735,-0.3747183500863111,1.0
cg10625705,0.8045045766887823,1.0
cg16776065,0.03903945958377165,1.0
cg23813012,0.49058784477118267,1.0
cg22736354,3.3680474520756043,1.0
cg25693132,0.24245010938562503,1.0
cg13096351,-0.0632794292395963,1.0
cg15165154,-0.6624022054547508,1.0
cg07811940,-0.05136652527535798,1.0
cg17534540,-1.4397454241543919,1.0
cg07357781,-0.05365114117608981,1.0
cg20078454,0.5768562633192649,1.0
cg19028462,0.3979254820847504,1.0
cg00533390,0.25583014322200753,1.0
cg01142735,0.13884985659326246,1.0
cg01579024,0.4418359102909986,1.0
cg01415937,-0.2529776638242946,1.0
cg03303325,-0.1578929079961217,1.0
cg26232451,-0.28638642600482467,1.0
cg13353879,-0.34219785151506515,1.0
cg00590036,1.3662328960604893,1.0
cg19846154,-0.32340036616651024,1.0
cg27559724,0.10473889035309962,1.0
cg21002399,0.44376707615728916,1.0
cg27320127,1.1257416033933947,1.0
cg21623865,1.4757845803161371,1.0
cg20000908,-0.21253982690726061,1.0
cg01917340,0.06724100917690337,1.0
cg22337624,-0.03883212836157762,1.0
cg23123731,0.3492589308551966,1.0
cg00092518,0.5577272195903341,1.0
cg26312935,-1.268768410018749,1.0
cg22454769,4.292189811835879,1.0
cg26141291,-0.2236977280975054,1.0
cg09233658,-0.5991098823211514,1.0
cg05690394,-0.07813872097099257,1.0
cg04845871,-0.548691332690231,1.0
cg24528602,0.19441025113925628,1.0
cg04423188,-1.0408258657042444,1.0
cg20439624,-0.3859938390239058,1.0
cg26039141,-0.21608415525339056,1.0
cg23860325,-0.035634234399279055,1.0
cg10021411,-0.03439187910985086,1.0
cg01512113,-0.1588256815858936,1.0
cg06121469,0.7694032752910602,1.0
cg11654118,0.023421651562490483,1.0
cg21037784,-0.07751545530389564,1.0
cg04833845,-0.8847052334169838,1.0
cg15861156,-0.07895604770923148,1.0
cg23259527,-0.08558774878317779,1.0
cg12121535,-0.4765442253682055,1.0
cg14013080,-0.42576241389795133,1.0
cg08565632,0.25545437443664915,1.0
cg00532335,-0.11918258612187893,1.0
cg20674174,0.15386045561604653,1.0
cg02645295,-0.023781313321795054,1.0
cg16909962,1.4955771751666402,1.0
cg02016130,0.15294078989231508,1.0
cg24936781,-1.2852809159368295,1.0
cg16477091,0.44291344913877057,1.0
cg20140940,-0.3520976878317899,1.0
cg17321954,0.5014153806067628,1.0
cg08622677,1.3110531200824873,1.0
cg12623101,-0.28408882790082873,1.0
cg15488596,0.9101629814706788,1.0
cg24335310,-0.33366465571012893,1.0
cg02464551,0.2271130869232297,1.0
cg08509427,-0.5140374971964942,1.0
cg25410668,1.9288048292540056,1.0
cg08962087,-0.05594167938073765,1.0
cg13971025,0.07299507803352624,1.0
cg00170714,-0.14562772198707089,1.0
cg21186299,0.2119013674637749,1.0
cg15726514,-0.26666984032965424,1.0
cg09746992,-0.2758247279116922,1.0
cg05708550,0.6193892944850379,1.0
cg14911690,0.804681622033117,1.0
cg03666203,-0.5053480577271047,1.0
cg01814027,-0.8338135077000822,1.0
cg13880868,-0.7959432512668437,1.0
cg27380904,0.9589335754451822,1.0
cg01835580,-0.3208870571139866,1.0
cg09226692,0.7870964335372451,1.0
cg18240400,0.1733084732612089,1.0
cg20234855,0.4920347003463659,1.0
cg12560772,-0.10381400539220614,1.0
cg04988273,0.14367242989630202,1.0
cg01346501,-1.2745363658360334,1.0
cg01910125,0.3409689256275913,1.0
cg12513686,0.1807183752705461,1.0
cg24678732,-0.24150126149309756,1.0
cg08363339,0.07004635027712638,1.0
cg14037346,0.03530277134205395,1.0
cg00718470,0.3661332922374799,1.0
cg11305134,-0.016278689946432966,1.0
cg20998200,-1.0724066178503782,1.0
cg21186966,-0.21439463971127357,1.0
cg19241311,0.13387260246925733,1.0
cg18725599,-0.08498214515186579,1.0
cg00319912,-0.01225888180037064,1.0
cg00621084,0.18147072919942953,1.0
cg12528981,-0.09661820522862202,1.0
cg10529845,-0.0930374030907443,1.0
cg00906908,-0.2583155966494958,1.0
cg27384355,-0.8288664262858313,1.0
cg06202426,0.15936741674445273,1.0
cg11615607,0.6275113592711907,1.0
cg23242341,-0.10571929444747157,1.0
cg27082921,-0.6220115181746753,1.0
cg27527874,0.07278274639125114,1.0
cg21956434,1.6998046749754196,1.0
cg08543966,-0.9818664874146027,1.0
cg01693830,0.11142885485493857,1.0
cg01939535,0.6303721044471333,1.0
cg02849507,-0.2547167329526455,1.0
cg15022387,0.01967083005542075,1.0
cg08367318,0.19775869512680483,1.0
cg01094564,-0.0067613288613709984,1.0
cg11229185,0.7799940772984747,1.0
cg04880546,4.787308119553489,1.0
cg08904363,1.2336847961251431,1.0
cg06344571,-0.04131036454098789,1.0
cg10071550,0.3581076876085578,1.0
cg20371046,0.40470021098315656,1.0
cg01128642,-0.019372342928780525,1.0
cg07066898,1.0087479570983684,1.0
cg04193901,-0.8640057510137014,1.0
cg12403132,0.5497576691405294,1.0
cg26177760,-0.07170619331263084,1.0
cg01097897,0.04844272295247429,1.0
cg09124496,-1.4848460659860732,1.0
cg25744613,-1.3509153038794273,1.0
cg06621425,0.14163528101487924,1.0
cg16048006,-0.05792997444271081,1.0
cg02013987,-0.07407455718417114,1.0
cg03059896,-0.12183429832438315,1.0
cg10919344,-0.15118627630645812,1.0
cg22891707,-0.27414329027958007,1.0
cg03660034,-0.3607591059227962,1.0
cg20897936,0.09897828594118234,1.0
cg02298401,-0.1374184434967474,1.0
cg06417426,-0.405058104853304,1.0
cg01701837,0.1458784405608204,1.0
cg06675784,-0.7994358335725166,1.0
cg00822157,0.03427632553550131,1.0
cg12550600,1.5067498173707634,1.0
cg07477282,0.8965949393956043,1.0
cg00770443,-0.04971893399707985,1.0
cg05779272,-0.09730205195129986,1.0
cg05760937,-0.09744898531854494,1.0
cg07773186,-1.053180877431971,1.0
cg14827807,-0.2384956784935071,1.0
cg18009321,-0.3747161110429926,1.0
cg02987387,-0.8843453041233512,1.0
cg09650907,-0.840634967611655,1.0
cg00458016,0.8313911921343449,1.0
cg18343480,-0.015107527934402646,1.0
cg06604199,0.33162239867488597,1.0
cg27008631,-0.00808126277165461,1.0
cg05902130,-0.48855755012959207,1.0
cg25090514,1.6013383548010343,1.0
cg12063018,0.16186675374666837,1.0
cg08625482,-0.025075294867153583,1.0
cg00975971,-0.3999075279950594,1.0
cg20953047,-0.09648008476625153,1.0
cg26724841,0.3719890478408308,1.0
cg22199118,0.8887552417051789,1.0
cg23825231,-0.5827634774964545,1.0
cg22965752,0.6876700811523528,1.0
cg13191195,0.08058542946888353,1.0
cg00333800,0.09057698156439913,1.0
cg06376558,-0.11477904659560043,1.0
cg06413398,-1.7084055019492845,1.0
cg16626322,0.013688269827063504,1.0
cg18159289,0.5838155399959493,1.0
cg08677954,0.44767938631428794,1.0
cg02903907,0.09855990077286246,1.0
cg15029935,0.15299516326077076,1.0
cg20119148,2.100293219310619,1.0
cg03467047,0.524909075852764,1.0
cg11846559,0.8654207147853699,1.0
cg04764898,-0.08674942943729962,1.0
cg25427880,1.153584020270959,1.0
cg12447832,0.5936187968917983,1.0
cg19222784,-0.027665807667823266,1.0
cg03892103,0.49484157342347773,1.0
cg04101015,-1.0907822257600803,1.0
cg21512950,-0.14539192594607428,1.0
cg06648759,1.6412812032481077,1.0
cg05764422,-0.22574796073480566,1.0
cg01670876,-0.536621769626167,1.0
cg05898618,-0.3034288496748616,1.0
cg09864457,0.3019480578202841,1.0
cg07392449,0.0705415910097413,1.0
