,Coefficient,order
cg08795515,-0.03667120338046645,1
cg13023677,-0.09816566224938746,1
cg02318971,0.38693739552205925,1
cg04453471,-1.1179246676415269,1
cg11896587,0.03794582863739149,1
cg21727223,-0.7008137262513033,1
cg27426151,0.7715549766234794,1
cg15858166,0.7672812778986572,1
cg20689661,-0.05612433517960527,1
cg20308540,0.228855281055297,1
cg27665659,0.6279208604366169,1
cg04717595,-0.1111917106415947,1
cg26830108,1.3023908942685012,1
cg11359984,0.8268713283573054,1
cg19308436,-0.17895596171243275,1
cg14959707,-0.25677789622473923,1
cg26518431,0.298509440085573,1
cg03341233,-0.9125663204049319,1
cg15288779,0.5545647849365595,1
cg08374494,0.24248771135061128,1
cg04658615,0.15715767740235786,1
cg15488596,0.464305975071027,1
cg20978858,-0.1955642078659279,1
cg04212239,1.5413686999985363,1
cg24150662,1.1759398281622353,1
cg06413794,-0.041467368163320355,1
cg14756040,0.32766397041809864,1
cg06508005,-0.6432055343380048,1
cg05638500,-0.7937520333626529,1
cg25018951,1.0440758780437254,1
cg02638567,0.9020327427071588,1
cg21199854,0.294192669325972,1
cg10548038,0.7588333508719258,1
cg24105287,-2.040666702206503,1
cg07220152,-0.8380318085111541,1
cg11601932,2.919785106925673,1
cg23793397,0.2511935016451072,1
cg22322679,0.5272619289628291,1
cg10583997,1.9555632360525022,1
cg04241863,0.17005855603933123,1
cg16374343,-1.0749522134278953,1
cg01010923,-0.1334262456841154,1
cg25865120,-0.3762035583026779,1
cg11779053,-0.026539801042166977,1
cg02063846,-0.6558389339068361,1
cg02839875,-0.25223445914629855,1
cg12265959,0.0018498792990914246,1
cg12428326,-0.6245741330056394,1
cg16002963,0.010000276662146527,1
cg01016169,-0.06722502492217698,1
cg11594887,-0.2003576065942061,1
cg22212250,0.14001859760988516,1
cg16143325,-0.16246189459083224,1
cg21241823,0.41115414079370444,1
cg18468088,1.0256339759226651,1
cg20692569,1.6202757260262937,1
cg15393490,-2.8192542292562304,1
cg00222656,-0.5882801329454382,1
cg06832820,-0.49956444109426806,1
cg23995914,3.239772735213775,1
cg05229035,-0.5620064740583678,1
cg03555227,2.684778028682228,1
cg22996170,-0.26252496106943063,1
cg03681150,0.26524395804389106,1
cg05632420,-1.6547981642021559,1
cg02128483,0.724871119982506,1
cg09650907,-0.9637332305384986,1
cg26876834,0.4240770451723333,1
cg19908207,-0.1531987536206061,1
cg06915470,-0.3222356136288731,1
cg03507326,1.6678303935784817,1
cg24752354,-0.19950436287991613,1
cg04684267,1.4521715780591986,1
cg01868791,0.343282895301621,1
cg15706539,-0.13405935427293947,1
cg02026306,-0.40680222169895935,1
cg02243303,0.10117830670188065,1
cg23483765,-0.8903896753116637,1
cg12678562,1.736051975216499,1
cg19574915,-0.5519107873836026,1
cg23500537,3.015089766462853,1
cg23606718,3.2815583717032677,1
cg01140247,-0.35681881163816015,1
cg00252781,1.221097876226932,1
cg09226692,0.9625098082945489,1
cg02319990,0.6998171189778585,1
cg04511702,-0.16491951078879108,1
cg03465682,-0.5405949850780468,1
cg00743094,0.22642430272966516,1
cg21512950,-0.024628405006899397,1
cg02315870,0.32333230507312716,1
cg23575858,0.8461988966426192,1
cg13460409,0.7512906313619405,1
cg25004441,-0.6538480170454383,1
cg00059225,0.7492725657675148,1
cg11182160,0.11651024538660108,1
cg14480507,-1.0773468737151768,1
cg07172885,0.9403451591153545,1
cg00985983,-0.05230296538586419,1
cg12217291,0.2658142938318874,1
cg21746711,-0.1444809081550891,1
cg06028917,-0.36725739036313537,1
cg25744613,-2.6368717028754243,1
cg04988273,0.3973791820276556,1
cg07194321,-0.5271136513363142,1
cg17490283,-0.3140816881669071,1
cg01810111,2.915643677290231,1
cg23123731,0.5474498486640077,1
cg07798602,-0.1250901645668057,1
cg11846559,0.6775359754569232,1
cg18008766,0.25915193407104004,1
cg04738827,1.381474038908351,1
cg01019875,0.5017525306311872,1
cg06084073,-0.6318291070406412,1
cg14755066,0.3985521875931131,1
cg26877720,-0.575111364143122,1
cg17896965,0.18884705677699065,1
cg26734668,0.48460680414781704,1
cg15409237,0.6176111796346246,1
cg09746992,-0.21394081129143094,1
cg09746086,-0.12897828866986977,1
cg00458016,2.1136571898906795,1
cg23999833,-0.8111965638128619,1
cg07196505,-0.0121977153279979,1
cg19103398,-0.4583968464366921,1
cg21493505,0.7242942754719937,1
cg14633456,1.3071412688256814,1
cg00460776,0.5398401452178275,1
cg02734600,-0.01782267293662094,1
cg19060970,1.7417615917871005,1
cg07177395,-0.403897857881025,1
cg22705929,-0.0776482833737973,1
cg07477282,0.5380053237336331,1
cg09500738,-0.028354231968619498,1
cg00702638,2.076076803260725,1
cg23193759,2.2368445037803064,1
cg10623221,0.3850066635406567,1
cg06062998,-0.18138652227815294,1
cg06335143,1.4290497605800738,1
cg13696752,0.4871884401752484,1
cg01644850,0.16093640931346115,1
cg09623845,-0.09567432406122622,1
cg03661324,0.2961379507912169,1
cg21572722,3.043504473065523,1
cg06539449,-0.06385252966865955,1
cg05228359,-1.3325711159376075,1
cg17204562,-0.002977903864458541,1
cg08677954,0.5997011708840752,1
cg21548950,-0.3327637915684632,1
cg01346152,-0.0801760181569863,1
cg20954129,-0.04091124496867652,1
cg15082394,0.5536203638024814,1
cg16969368,0.422047838227209,1
cg10947146,0.5574654141262629,1
cg23493018,-0.02941508129452141,1
cg26522319,0.6220743994297554,1
cg06648759,0.9131302801320754,1
cg07392449,0.23560529664915056,1
cg27320127,0.9017637909985479,1
cg01386314,0.33468523223938307,1
cg03467047,0.2549747222568161,1
cg16259931,0.39394312200309867,1
cg19031565,0.40418446986747436,1
cg25291978,-0.3951380461065282,1
cg23396732,1.0188405115171455,1
cg06922393,-0.04060589189353433,1
cg04658856,0.011866746510550648,1
cg00394316,0.7511891512565425,1
cg14674720,1.1987749250267763,1
cg17265115,-0.6691888860003656,1
cg06144905,2.6673612084427556,1
cg27025722,-0.46338898277691465,1
cg06128142,0.2759532780106933,1
cg07303143,5.605014868025526,1
cg26318502,0.289995753825472,1
cg19343530,0.2615689978682518,1
cg02821342,-0.5066329466763065,1
cg18845417,0.009311219465639014,1
cg04286438,-0.2179282851241148,1
cg13324128,-0.4931535813183259,1
cg02272851,-1.892133250855792,1
cg06212670,0.1378369361665751,1
cg01671895,-0.2374738998493224,1
cg02932314,0.1723375274501248,1
cg01484686,-0.1439620288999105,1
cg07155013,-0.4314858089106053,1
cg07092097,-0.31568477870565176,1
cg12373771,1.43571959801904,1
cg06639320,2.7427713879242077,1
cg03553786,1.237860595029997,1
cg16012294,-0.25770820494395535,1
cg16048006,-0.37596161284139584,1
cg11071401,3.59938450859198,1
cg10574861,-0.625740616249048,1
cg17566735,-1.4191888222128661,1
cg06174454,-0.3919694240100797,1
cg16489193,0.023351365537803516,1
cg17303833,0.28970545855011265,1
cg12850242,2.0061868972893833,1
cg20897936,0.060588188748112067,1
cg26921969,2.3229492317492975,1
cg22166290,0.4820385025947037,1
cg07593205,-0.05038688076769079,1
cg05279291,1.718140586781193,1
cg16662989,0.08084394691997103,1
cg08900043,0.033438319623718585,1
cg25427880,1.7527001612564268,1
cg01917340,0.32465366289593434,1
cg03036557,2.7453323088870913,1
cg25090514,1.2992875288963224,1
cg15445000,0.5359993234700207,1
cg21956434,0.9163326825981848,1
cg11230435,-0.7936861293555272,1
cg03499675,-0.6458864853900191,1
cg02993699,1.0480691075158166,1
cg17861206,-0.6320996421246237,1
cg04556418,0.1850808897208786,1
cg07066898,1.666868834276057,1
cg13941669,-0.11402828007819157,1
cg16235809,-1.3864052897709547,1
cg21467631,0.40157002391832003,1
cg20518446,-2.1957454049378047,1
cg14676592,3.169711800782251,1
cg13612447,0.29105309366047616,1
cg25246431,1.069892531922002,1
cg08143197,0.6989685555216993,1
cg26009486,0.12917260098016795,1
cg20128099,-0.048316828297344155,1
cg14514991,0.042599555218632276,1
cg13935689,0.6592074039529564,1
cg24960149,-0.3049267441004332,1
cg07890839,-0.852904474321661,1
cg22599122,0.09451750098156526,1
cg01649611,-0.2996377396717091,1
cg00707814,0.5574981648664391,1
cg06226384,0.40539605501551523,1
cg01200264,0.4397287136377985,1
cg03458957,-0.012705493694134169,1
cg06993413,0.6078859569494476,1
cg18825458,-0.98084422416703,1
cg20404336,0.7952076170747632,1
cg22331349,1.887917298834873,1
cg13943358,0.2590288932289162,1
cg22455720,-1.2204489187094212,1
cg26849884,0.012219025657439387,1
cg10186605,-0.3813311433283361,1
cg05333279,-0.0901217186359662,1
cg24824371,-0.18866940684159544,1
cg17120578,0.6712056458596396,1
cg05756301,0.2615376004193635,1
cg23981354,0.07642584978963822,1
cg24408776,0.17911581718026204,1
cg18493314,-0.11773343748452338,1
cg02626307,0.8885585084208585,1
cg27384355,-0.9237539929934924,1
cg15420468,2.279844907275103,1
cg00906908,-0.45983401823949904,1
cg03140135,-1.4484864704427454,1
cg11229185,0.8709833736381069,1
cg14901671,0.023902856658683358,1
cg23652182,0.6190190119371579,1
cg02561802,-0.029747203520703782,1
cg19908856,0.03976536791926192,1
cg08872313,-0.9064224143698502,1
cg00748589,0.2976350780343171,1
cg07589899,2.3088236193069616,1
cg01939535,0.5246300126519655,1
cg16042668,0.0520342512750077,1
cg26956371,0.15010346775416253,1
cg01154966,0.6428759987561761,1
cg14911690,0.17307313942439967,1
cg08869700,0.2903648557101787,1
cg06737494,0.50091829058085,1
cg23275972,0.3729447541211128,1
cg02331561,1.8875237850127362,1
cg05061107,-0.26129915250587454,1
cg14384960,0.49619868227711017,1
cg22247792,0.23469489454072423,1
cg10569694,0.718606111056747,1
cg02832697,-0.034112789379106424,1
cg01912040,3.904329039632588,1
cg03350900,1.0863846835470898,1
cg02320937,0.04173501344458994,1
cg02943595,-0.11468875828506955,1
cg21787249,-0.2752158584054214,1
cg07654588,-0.1272670827487805,1
cg02732509,0.5015301800791709,1
cg11181763,0.5094427000818433,1
cg20435267,0.5645425248567629,1
cg03032497,1.410342482841398,1
cg14737704,0.43519724843598545,1
cg18569335,0.14032649574041242,1
cg09665406,0.6636375935067612,1
cg07873590,0.01117751631534974,1
cg04304687,-0.5849064956060145,1
cg13309461,0.042848364465727665,1
cg12002745,-1.2392697850166026,1
cg03545227,1.9930826846918246,1
cg05651778,0.36858101931128445,1
cg03539717,-0.07413519256736589,1
cg06073351,0.07640951500105932,1
cg17243289,2.463985960394813,1
cg11967111,-0.45437158817387713,1
cg15181905,0.7548428391787734,1
cg20915763,-0.4180456713043759,1
cg08704536,0.03541670844561107,1
cg09329097,0.16878351546122938,1
cg24854681,-0.06010605923694775,1
cg15243542,-1.4941779493979352,1
cg26283098,-0.002519626829561203,1
cg01763090,0.9511928918849962,1
cg24408436,0.7626228928659718,1
cg17469934,-0.13086638193040515,1
cg05364179,0.6624106688524749,1
cg13816999,0.5753764335007041,1
cg26005232,0.2946304897238522,1
cg00533390,0.6017210290741574,1
cg02458141,-1.2196627244192841,1
cg07122805,-0.4163344974720185,1
cg25478614,2.680878176033537,1
cg02189888,0.7810973046059996,1
cg00208967,-1.4048606787088889,1
cg09123577,0.1177682365110267,1
cg13818276,-1.3528171965839875,1
cg08904363,1.6843309970294775,1
cg13030331,0.856482474797702,1
cg01329687,0.47524093998940087,1
cg08983186,0.1183264187974071,1
cg06191348,-0.18193095399626696,1
cg14349862,0.19941774792306485,1
cg15563355,0.9130775433843167,1
cg17519955,0.052037864066826055,1
cg01071511,-0.9838968334588535,1
cg00170714,-0.2502549495431322,1
cg02220965,1.3658510454544543,1
cg00066663,-0.37263562117234617,1
cg12393668,0.18845206524948077,1
cg24204847,-0.12493352878247886,1
cg24466241,0.5458090832439715,1
cg00593900,0.09130858539891878,1
cg27380904,0.94558760672504,1
cg10625705,0.7704361473866473,1
cg25445931,-0.05559190538128878,1
cg15571405,-1.4995223145865486,1
cg03301331,0.7718200597410677,1
cg04177015,-0.3991451336754318,1
cg08622677,1.0271035632419772,1
cg07078958,-1.5772287535312386,1
cg03476109,-3.587373314861231,1
cg15507449,0.2775218319849423,1
cg24118856,1.6466335986203267,1
cg04137576,-0.27423527392936525,1
cg04271792,0.8647820994743379,1
cg23998119,0.45434658665888467,1
cg15611624,-0.3114148452086883,1
cg11654118,0.6679237805508986,1
cg05279643,-0.13289422317143357,1
cg24459227,0.027668574460188052,1
cg14064148,0.9046350764125228,1
cg04017672,-0.4338187382778156,1
cg03370704,-0.9163578649449793,1
cg11614451,0.8934408562037761,1
cg16033151,-1.8312386369334746,1
cg14284211,-0.918320786552943,1
cg23156348,0.7464989035529543,1
cg27269148,0.18079546028915858,1
cg04566359,0.04552443347232045,1
cg11553687,-0.058560555180942456,1
cg18800785,-0.16260841795595035,1
cg08951273,0.40049613595729716,1
cg18549036,0.060595406252211256,1
cg00360610,-0.4070751569363106,1
cg25405922,0.43342112821778267,1
cg12076692,-0.07099259817618282,1
cg00944304,-0.8793889327981893,1
cg04614290,-0.8255034541432434,1
cg05708550,0.9263727127505111,1
cg27180671,-0.45760289766439366,1
cg10010103,-0.48725605155643037,1
cg23718606,0.1760363014471008,1
cg06201717,0.41168598696220093,1
cg06030846,-0.3316641457737388,1
cg00345025,0.5572056673443269,1
cg10109146,-1.3429289108954654,1
cg13447033,0.1447161644731205,1
cg21623865,1.506923166415701,1
cg07388347,0.6151181459109035,1
cg19526600,0.09426739629305748,1
cg14184729,0.06503086253885795,1
cg14063191,0.6461797511808425,1
cg26140475,-2.370926914944102,1
cg24170085,-0.1539398381276709,1
cg18633600,0.33840386245123494,1
cg27338302,0.38396956242090274,1
cg12589298,0.5541379950565829,1
cg24143374,-0.9853234909873846,1
cg24314434,-0.11802013157253069,1
cg24681499,-0.7283602844939798,1
cg05880944,0.19136620611432553,1
cg16109680,-0.5256632400851156,1
cg11385003,-0.14752018901007646,1
cg04850875,0.39967196830411406,1
cg03224418,-0.5595819940325802,1
cg01214340,0.12284392938740814,1
cg06121469,0.6313385175709622,1
cg23040782,1.0464479529819022,1
